num_agents,skill_type,network,cooperation_proportion
400,eeew_simp,1,0.2835820895522388
400,eeew_simp,1,0
400,eeew_simp,1,0
400,gigawolf,1,1
400,gigawolf,1,0.4350612629594722
400,gigawolf,1,0.4958010790523106
400,gigawolf,1,0.4037629108987271
400,gigawolf,1,0.4143658066071859
400,gigawolf,1,0.4031405644714997
400,gigawolf,1,0.402145473574045
400,gigawolf,1,0.4014508772202936
400,gigawolf,1,0.35032447142558093
400,gigawolf,1,0.39886949165577174
400,gigawolf,1,0.3874093071173363
400,gigawolf,1,0.3229782204963701
400,gigawolf,1,0.3405536160971989
400,gigawolf,1,0.39293456688345396
400,gigawolf,1,0.4298475384512056
400,gigawolf,1,0.45852542796897894
400,gigawolf,1,0.3447591219000524
400,gigawolf,1,0.44052863436123346
400,gigawolf,1,0.4505231037489102
400,gigawolf,1,0.4021634505202365
400,gigawolf,1,0.3273729626078619
400,gigawolf,1,0.2949306379248105
400,gigawolf,1,0.27067843866171004
400,gigawolf,1,0.3476997279248083
400,gigawolf,1,0.38829354313619097
400,gigawolf,1,0.3178122690317812
400,gigawolf,1,0.3212252425627456
400,gigawolf,1,0.39013215859030836
400,gigawolf,1,0.5635708722741433
400,gigawolf,1,0.43032664069523524
400,random,1,0
400,random,1,0.14903115501519756
400,random,1,0.2147093712930012
400,random,1,0.2930001409840688
400,random,1,0.29064378470150964
400,random,1,0.24906370077335885
400,random,1,0.22187955760816724
400,random,1,0.26822383624958734
400,random,1,0.24760289990645462
400,random,1,0.256986301369863
400,random,1,0.19394572599048693
400,random,1,0.26562130377479637
400,random,1,0.21134979702300405
400,random,1,0.25582720397803793
400,random,1,0.2859963237796991
400,random,1,0.22691595378781199
400,random,1,0.17329199424205513
400,random,1,0.1825749167591565
400,random,1,0.09631147540983606
400,random,1,0.38511076764554353
400,random,1,0.1381623071763917
400,random,1,0.19874804381846636
400,random,1,0.2689116642264519
400,random,1,0.4879518072289157
400,random,1,0.2375
400,random,1,0.09604043807919124
400,random,1,0
400,random,1,0.4796084828711256
400,random,1,0
400,random,1,0.7116402116402116
300,S++,1,1
300,S++,1,0.5060281312793035
300,S++,1,0.4540807776101894
300,S++,1,0.3631852018948793
300,S++,1,0.3700518777489568
300,S++,1,0.4222568396456041
300,S++,1,0.3711595517740235
300,S++,1,0.3147718484145398
300,S++,1,0.4322468082749453
300,S++,1,0.37958556713450997
300,S++,1,0.4100003306987665
300,S++,1,0.42569287844620646
300,S++,1,0.3491659035712864
300,S++,1,0.37600349040139613
300,S++,1,0.4594374820625658
300,S++,1,0.33121754183496827
300,S++,1,0.3973919011667811
300,S++,1,0.4245117676514772
300,S++,1,0.4470885040229101
300,S++,1,0.3282370153621068
300,S++,1,0.3878023469306298
300,S++,1,0.33546990038977914
300,S++,1,0.5173924952067926
300,S++,1,0.35230561450897163
300,S++,1,0.5549156725627313
300,S++,1,0.39083206604388443
300,S++,1,0.4651450416010794
300,S++,1,0.5076868495742668
300,S++,1,0.44998786113134254
300,S++,1,0.5571535767883942
300,S,1,0
300,S,1,0.18640970260840672
300,S,1,0.14891602764366182
300,S,1,0.21636845593108017
300,S,1,0.1797582262698542
300,S,1,0.27459167383028366
300,S,1,0.19350147092850295
300,S,1,0.1943044764474497
300,S,1,0.18960364335017435
300,S,1,0.26106967824419347
300,S,1,0.1868143135445504
300,S,1,0.1394080996884735
300,S,1,0.19038041101880193
300,S,1,0.13921425085407516
300,S,1,0.2928855182376309
300,S,1,0.2770926266071897
